NPC,c_r,c_sse,c_sselat,c_sseax,c_x0,c_y0,c_z0,c_tilt_x,c_tilt_y,c_tilt_z,el_major,el_minor,el_q,el_rot,el_ssum,el_ssumXY,el_ssumZ,ce_x0,ce_y0,cez0,e_tilt_x,e_tilt_y,e_tilt_z
0,56.568737414400545,45.84166528965167,4.546606077715804,41.29505921193588,-0.019360504090555397,7.736039987222204,30.571512956106524,-0.2030441375357703,0.06484190998924008,0.01535166861279963,61.87499999999999,52.474999999999994,0.8500000000000001,-0.24324999999999997,115.475,74.15,41.275,0.08483497941071699,7.575931924088811,30.518487049313173,-0.2030441375357703,0.06484190998924008,0.01535166861279963
1,60.94120084171893,29.824903156263805,3.32791171581097,26.49699144045283,2.8530157294659815,1.6211280935528833,30.3161507472749,-0.008107092305705764,0.1723176427935269,-0.014750497361139453,65.1,57.525,0.885,-0.18524999999999997,62.0,35.5,26.5,2.698192701475446,1.6539123408661183,30.305154674616716,-0.008107092305705764,0.1723176427935269,-0.014750497361139453
2,61.955353254472655,84.506671536174,3.792882936509749,80.71378859966424,0.9228247338140076,0.09077784545071274,29.020527305553813,0.035081745636743,-0.24850807314611212,-0.957138927507527,67.02499999999999,57.550000000000004,0.8625,-0.57275,103.45,22.700000000000003,80.725,0.9219744958643425,0.06992313345840095,29.027550407479158,0.035081745636743,-0.24850807314611212,-0.957138927507527
3,55.99340626052658,41.5624545991534,4.965930199588687,36.59652439956472,-5.8508440882751795,-1.794778826539241,29.549188821231134,-0.01913284768750698,-0.020738214468464883,-0.9946755335145743,62.2,51.025000000000006,0.82,0.243,96.675,60.1,36.625,-5.8904917991539305,-1.8991068671243627,29.53782082420823,-0.01913284768750698,-0.020738214468464883,-0.9946755335145743
4,64.71944346060747,48.631840210994234,5.215091965617896,43.41674824537634,5.7650230959310615,-2.44799942241024,29.87055011548193,-0.045514476547330894,0.058358111284018424,-0.004612713548208497,72.425,58.7,0.8200000000000001,-1.028,80.02499999999999,36.62499999999999,43.425,5.481078043805069,-2.2084498590740234,29.820069718166692,-0.045514476547330894,0.058358111284018424,-0.004612713548208497
5,55.33356499744839,29.860505368941407,4.21158179895079,25.648923569990615,-1.5518515363264462,0.256468339063869,30.602033519658043,-0.07837679181895056,-0.07619648065497156,0.9828902382519568,60.8,50.75,0.835,1.2009999999999998,61.72500000000001,36.050000000000004,25.650000000000002,-1.456907511272837,0.24081069163395386,30.6171398960472,-0.07837679181895056,-0.07619648065497156,0.9828902382519568
6,60.52421035573521,83.65388220984767,4.750049516850133,78.90383269299751,-3.976160792333853,-3.087568704792572,30.630340234546125,0.011017690522480049,-0.10318841258107893,0.48814747664192454,67.325,54.675,0.8125,0.373,99.525,20.6,78.9,-4.0726639503938085,-3.0238321162332134,30.64249587766236,0.011017690522480049,-0.10318841258107893,0.48814747664192454
7,54.358850650580855,28.042821080773674,4.078022742237208,23.96479833853647,6.97406584234546,-8.500703882863407,30.630992286820156,-0.05728037677646364,-0.028518824043897953,-0.49659101550136175,59.4,50.575,0.855,-0.5032500000000001,91.875,67.95,23.95,6.896757066071459,-8.447202254434014,30.616914934883116,-0.05728037677646364,-0.028518824043897953,-0.49659101550136175
8,58.63870346802253,52.642170175239876,6.578053255205655,46.06411692003422,-0.12193757810140138,-3.701011055450835,31.95453822193318,-0.07263307789120726,0.09610234994303615,0.00283639831846505,68.425,50.8,0.745,-0.058249999999999996,90.625,44.52499999999999,46.1,-0.09554424596431565,-3.6587635728734282,31.921627638558697,-0.07263307789120726,0.09610234994303615,0.00283639831846505
9,58.886309609538486,28.69502881105458,5.913846139083887,22.78118267197069,-2.6209896212753576,5.075363643522453,31.32696156026014,-0.03317975455813444,0.11131818367252702,0.010841107585115917,66.85,52.75,0.79,-0.276,109.35,86.575,22.775,-2.7961916969089518,4.968805438726323,31.340765538143568,-0.03317975455813444,0.11131818367252702,0.010841107585115917
10,49.98002133530621,17.177796429615526,6.232100982887986,10.945695446727541,-5.909080199028278,0.7667062383344485,27.274219933660046,0.10518679837511916,-0.02662971119873797,-0.9920284508840458,58.525000000000006,43.7,0.745,0.86375,98.30000000000001,87.35,10.95,-6.022106572057727,0.7119523695433734,27.271987905464076,0.10518679837511916,-0.02662971119873797,-0.9920284508840458
11,62.66527282927365,60.463148463209656,5.639215481941798,54.82393298126786,-0.5771702387863054,9.66533335143229,30.098963145963673,0.03468011826034458,-0.12825026855085273,0.014969062005144446,70.875,55.725,0.785,0.10924999999999999,82.375,27.55,54.825,-0.6329100143672552,9.578095061585046,30.094492897399423,0.03468011826034458,-0.12825026855085273,0.014969062005144446
12,60.57454863606979,31.553758415858724,3.7341599465184374,27.819598469340292,-5.494844952904902,3.3056827139821268,29.037769822580042,-0.03263585231406031,0.07625443195126348,0.9944950043592635,65.44999999999999,56.3,0.8625,0.63125,43.974999999999994,16.15,27.825000000000003,-5.372858178827264,3.330100857054388,29.034499870316967,-0.03263585231406031,0.07625443195126348,0.9944950043592635
