NPC,c_r,c_sse,c_sselat,c_sseax,c_x0,c_y0,c_z0,c_tilt_x,c_tilt_y,c_tilt_z,el_major,el_minor,el_q,el_rot,el_ssum,el_ssumXY,el_ssumZ,ce_x0,ce_y0,cez0,e_tilt_x,e_tilt_y,e_tilt_z
0,56.021824339704594,45.83448600781919,4.549694026852585,41.2847919809666,0.0403118671569907,7.673303521135908,30.549184256537103,-0.2029881382602442,0.06498791420932942,0.015416898025492176,61.325,51.974999999999994,0.8500000000000001,-0.24275000000000002,115.625,74.35,41.275,0.08084946624642464,7.57446149976302,30.52512808078886,-0.2029881382602442,0.06498791420932942,0.015416898025492176
1,57.08897687588862,29.7036844700899,3.361326597586933,26.342357872502966,2.9752529036873026,1.5984925304234605,30.36276507710543,-0.009598931765791331,0.17178523695035106,-0.014534981880308634,61.325,53.675000000000004,0.8775,-0.13999999999999999,62.699999999999996,36.35,26.35,2.8103986389240148,1.6332165066359332,30.351726244696852,-0.009598931765791331,0.17178523695035106,-0.014534981880308634
2,56.312079929319026,81.05018626408436,3.810389917298237,77.23979634678612,0.9368381893525393,-0.07920830231683701,29.00205522525881,0.035302989086109,-0.2504649418441793,-0.9564262946135897,61.4,51.95,0.8475,-0.6072500000000001,101.125,23.9,77.25,0.8864644935233672,-0.0930131391480454,29.003846276766716,0.035302989086109,-0.2504649418441793,-0.9564262946135897
3,58.38451111807261,41.26515721243765,4.868122851211484,36.39703436122617,-5.931320401040285,-1.7582952115267338,29.514876205322754,-0.019487178434383707,-0.01897088653806195,-0.9947996447037003,64.39999999999999,53.49999999999999,0.83,0.25999999999999995,93.85,57.475,36.400000000000006,-5.963355173033826,-1.8542034045636315,29.5043259325129,-0.019487178434383707,-0.01897088653806195,-0.9947996447037003
4,58.12693588147557,49.95922906429257,5.340555378584221,44.61867368570835,5.737887208375218,-1.8099071385995678,29.98704616233548,-0.05653226404594719,0.06803288567210672,-0.005421661410027839,66.1,52.05,0.8,-0.558,82.675,38.025,44.625,5.43618853767575,-1.5400502029378056,29.925826528614135,-0.05653226404594719,0.06803288567210672,-0.005421661410027839
5,57.671023648592794,30.009608162113736,4.254431748001402,25.755176414112338,-1.5140719434196894,0.5495220719693201,30.64090821353259,-0.07754248844142055,-0.07662602464769178,0.9828332899775531,63.175,53.025,0.84,1.19775,62.349999999999994,36.574999999999996,25.75,-1.3832112364382765,0.535343747842695,30.65333532116717,-0.07754248844142055,-0.07662602464769178,0.9828332899775531
6,57.13733286759502,81.68692883850481,4.783157862992809,76.903770975512,-4.414307077149505,-3.2106536613578953,30.568914876851697,0.012031659573157352,-0.10189943590137819,0.4883111503942402,64.0,51.275000000000006,0.8025000000000001,0.36950000000000005,98.2,21.275000000000002,76.92500000000001,-4.492284844116561,-3.081018483637675,30.593598932524177,0.012031659573157352,-0.10189943590137819,0.4883111503942402
7,58.6316537000388,27.22086365443655,4.063177882771116,23.157685771665435,6.807808861016457,-8.835683377214355,30.6731154772011,-0.054530634613782075,-0.028019828130041308,-0.4968360704225585,63.65,54.724999999999994,0.8650000000000001,-0.49250000000000005,88.65,65.475,23.175,6.81608183587894,-8.672294343301466,30.625059892167535,-0.054530634613782075,-0.028019828130041308,-0.4968360704225585
8,56.75535119079041,53.39622824929761,6.5146850687308255,46.88154318056678,-0.1507090342725338,-3.8182585181425495,31.99534492860331,-0.07366547458139738,0.09334933281991425,0.002978517336049813,66.475,49.025000000000006,0.7374999999999999,-0.02875,91.5,44.599999999999994,46.900000000000006,-0.1385843444179755,-3.7726577423202707,31.965216925646693,-0.07366547458139738,0.09334933281991425,0.002978517336049813
9,56.95681947965813,28.567848381134326,5.955599864050791,22.612248517083533,-2.8780433914662913,5.0733885507567535,31.312804771192543,-0.032129556705114116,0.1148721234915458,0.011334248381416806,64.95,50.9,0.785,-0.28800000000000003,111.92500000000001,89.3,22.6,-2.8473268043208058,4.9658617678487795,31.33904311518779,-0.032129556705114116,0.1148721234915458,0.011334248381416806
